"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","11","Building (excluding civil engineering)","Base 2015=100","130.09895079"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","111","Residential building","Base 2015=100","146.04231055"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","112","Non-residential building","Base 2015=100","127.4598866"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","12","Civil engineering","Base 2015=100","108.41590549"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","-","All building and construction","Base 2015=100","144.76994395"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","11","Building (excluding civil engineering)","Base 2015=100","148.91822477"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","111","Residential building","Base 2015=100","150.47614121"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","112","Non-residential building","Base 2015=100","148.99025394"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","12","Civil engineering","Base 2015=100","125.19961165"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","-","All building and construction","Base 2015=100","156.26248274"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","11","Building (excluding civil engineering)","Base 2015=100","163.68027561"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","111","Residential building","Base 2015=100","173.3091838"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","112","Non-residential building","Base 2015=100","162.42747766"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","12","Civil engineering","Base 2015=100","122.33993835"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","-","All building and construction","Base 2015=100","143.95929974"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","11","Building (excluding civil engineering)","Base 2015=100","152.87705114"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","111","Residential building","Base 2015=100","137.73987145"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","112","Non-residential building","Base 2015=100","154.57669034"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","12","Civil engineering","Base 2015=100","105.15760656"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","-","All building and construction","Base 2015=100","146.11917886"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","11","Building (excluding civil engineering)","Base 2015=100","150.84774153"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","111","Residential building","Base 2015=100","127.36323224"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","112","Non-residential building","Base 2015=100","155.79239413"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","12","Civil engineering","Base 2015=100","124.23445605"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","-","All building and construction","Base 2015=100","166.18516032"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","11","Building (excluding civil engineering)","Base 2015=100","173.05563751"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","111","Residential building","Base 2015=100","147.36336652"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","112","Non-residential building","Base 2015=100","176.83400638"
"BEA04S1","Value of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","12","Civil engineering","Base 2015=100","134.78475551"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","-","All building and construction","Base 2015=100","218.52597615"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","11","Building (excluding civil engineering)","Base 2015=100","281.23224879"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","111","Residential building","Base 2015=100","472.00944409"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","112","Non-residential building","Base 2015=100","148.36234232"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2000","2000","12","Civil engineering","Base 2015=100","87.017848974"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","-","All building and construction","Base 2015=100","226.03748275"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","11","Building (excluding civil engineering)","Base 2015=100","286.07378356"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","111","Residential building","Base 2015=100","491.10401249"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","112","Non-residential building","Base 2015=100","142.17765663"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2001","2001","12","Civil engineering","Base 2015=100","97.587817124"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","-","All building and construction","Base 2015=100","230.82176139"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","11","Building (excluding civil engineering)","Base 2015=100","283.88979121"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","111","Residential building","Base 2015=100","499.39561559"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","112","Non-residential building","Base 2015=100","131.57263708"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2002","2002","12","Civil engineering","Base 2015=100","112.47359333"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","-","All building and construction","Base 2015=100","243.8581567"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","11","Building (excluding civil engineering)","Base 2015=100","303.01451534"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","111","Residential building","Base 2015=100","555.03265685"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","112","Non-residential building","Base 2015=100","123.18186204"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2003","2003","12","Civil engineering","Base 2015=100","113.97211672"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","2004","-","All building and construction","Base 2015=100","305.77157847"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","2004","11","Building (excluding civil engineering)","Base 2015=100","386.23720734"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","2004","111","Residential building","Base 2015=100","732.51879225"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","2004","112","Non-residential building","Base 2015=100","139.38254888"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2004","2004","12","Civil engineering","Base 2015=100","129.2861788"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","2005","-","All building and construction","Base 2015=100","334.95420373"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","2005","11","Building (excluding civil engineering)","Base 2015=100","421.62030515"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","2005","111","Residential building","Base 2015=100","803.85418791"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","2005","112","Non-residential building","Base 2015=100","149.29284938"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2005","2005","12","Civil engineering","Base 2015=100","144.50985837"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","2006","-","All building and construction","Base 2015=100","347.85460328"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","2006","11","Building (excluding civil engineering)","Base 2015=100","431.9679153"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","2006","111","Residential building","Base 2015=100","817.14520319"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","2006","112","Non-residential building","Base 2015=100","158.08023397"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2006","2006","12","Civil engineering","Base 2015=100","162.94639033"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","2007","-","All building and construction","Base 2015=100","301.4296171"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","2007","11","Building (excluding civil engineering)","Base 2015=100","361.29307638"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","2007","111","Residential building","Base 2015=100","645.60784226"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","2007","112","Non-residential building","Base 2015=100","159.75336851"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2007","2007","12","Civil engineering","Base 2015=100","170.34906244"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","2008","-","All building and construction","Base 2015=100","214.27436152"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","2008","11","Building (excluding civil engineering)","Base 2015=100","239.48636651"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","2008","111","Residential building","Base 2015=100","357.8709653"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","2008","112","Non-residential building","Base 2015=100","155.6429057"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2008","2008","12","Civil engineering","Base 2015=100","160.0689546"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","2009","-","All building and construction","Base 2015=100","135.37351051"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","2009","11","Building (excluding civil engineering)","Base 2015=100","133.94429083"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","2009","111","Residential building","Base 2015=100","150.12879626"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","2009","112","Non-residential building","Base 2015=100","121.34425927"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2009","2009","12","Civil engineering","Base 2015=100","139.58507416"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","2010","-","All building and construction","Base 2015=100","94.833060973"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","2010","11","Building (excluding civil engineering)","Base 2015=100","89.100193556"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","2010","111","Residential building","Base 2015=100","93.284840361"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","2010","112","Non-residential building","Base 2015=100","85.667580908"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2010","2010","12","Civil engineering","Base 2015=100","108.44739203"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","2011","-","All building and construction","Base 2015=100","78.660484364"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","2011","11","Building (excluding civil engineering)","Base 2015=100","77.059867472"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","2011","111","Residential building","Base 2015=100","68.019522643"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","2011","112","Non-residential building","Base 2015=100","84.271612286"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2011","2011","12","Civil engineering","Base 2015=100","82.483054279"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","2012","-","All building and construction","Base 2015=100","76.872346217"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","2012","11","Building (excluding civil engineering)","Base 2015=100","68.522046024"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","2012","111","Residential building","Base 2015=100","59.687512204"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","2012","112","Non-residential building","Base 2015=100","75.398502576"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2012","2012","12","Civil engineering","Base 2015=100","96.179746127"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","2013","-","All building and construction","Base 2015=100","85.448355924"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","2013","11","Building (excluding civil engineering)","Base 2015=100","78.563023136"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","2013","111","Residential building","Base 2015=100","66.000231003"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","2013","112","Non-residential building","Base 2015=100","89.477105539"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2013","2013","12","Civil engineering","Base 2015=100","100.90217632"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","2014","-","All building and construction","Base 2015=100","92.744720859"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","2014","11","Building (excluding civil engineering)","Base 2015=100","87.503827633"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","2014","111","Residential building","Base 2015=100","77.167246832"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","2014","112","Non-residential building","Base 2015=100","95.739436189"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2014","2014","12","Civil engineering","Base 2015=100","104.19244935"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","2015","-","All building and construction","Base 2015=100","100.23026712"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","2015","11","Building (excluding civil engineering)","Base 2015=100","100.0866828"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","2015","111","Residential building","Base 2015=100","100.14941836"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","2015","112","Non-residential building","Base 2015=100","99.955795618"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2015","2015","12","Civil engineering","Base 2015=100","100.31275008"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","2016","-","All building and construction","Base 2015=100","109.61581012"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","2016","11","Building (excluding civil engineering)","Base 2015=100","111.07097722"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","2016","111","Residential building","Base 2015=100","123.64111459"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","2016","112","Non-residential building","Base 2015=100","109.39576225"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2016","2016","12","Civil engineering","Base 2015=100","102.90895171"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","-","All building and construction","Base 2015=100","124.05317487"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","11","Building (excluding civil engineering)","Base 2015=100","127.93105252"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","111","Residential building","Base 2015=100","143.55528017"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","112","Non-residential building","Base 2015=100","125.35199048"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2017","2017","12","Civil engineering","Base 2015=100","106.59512056"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","-","All building and construction","Base 2015=100","136.71016597"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","11","Building (excluding civil engineering)","Base 2015=100","140.77088243"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","111","Residential building","Base 2015=100","142.28315747"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","112","Non-residential building","Base 2015=100","140.6433532"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2018","2018","12","Civil engineering","Base 2015=100","118.34620127"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","-","All building and construction","Base 2015=100","144.41278486"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","11","Building (excluding civil engineering)","Base 2015=100","151.27848652"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","111","Residential building","Base 2015=100","160.19574902"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","112","Non-residential building","Base 2015=100","150.18177149"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2019","2019","12","Civil engineering","Base 2015=100","113.12945184"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","-","All building and construction","Base 2015=100","131.84684656"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","11","Building (excluding civil engineering)","Base 2015=100","139.29929481"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","111","Residential building","Base 2015=100","125.84263966"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","112","Non-residential building","Base 2015=100","141.40096602"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2020","2020","12","Civil engineering","Base 2015=100","96.075955309"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","-","All building and construction","Base 2015=100","126.38401178"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","11","Building (excluding civil engineering)","Base 2015=100","130.50660472"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","111","Residential building","Base 2015=100","109.85366972"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","112","Non-residential building","Base 2015=100","134.57432786"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2021","2021","12","Civil engineering","Base 2015=100","107.49337249"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","-","All building and construction","Base 2015=100","130.32096289"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","11","Building (excluding civil engineering)","Base 2015=100","135.73318712"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","111","Residential building","Base 2015=100","115.72341515"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","112","Non-residential building","Base 2015=100","138.4032497"
"BEA04S2","Volume of Production Index in Building and Construction (Seasonally Adjusted)","2022","2022","12","Civil engineering","Base 2015=100","105.57283452"
